id,cinsiyyət,Yaşlı təbəqə,tərəfdaş,asılı olanlar,müddəti,Telefon Xidməti,Birdən çox xətt,İnternet servisi,onlayn təhlükəsizlik,onlayn yedəkləmə,Cihazın Mühafizəsi,texniki dəstək,canli tv,filmlər,müqavilə,Kağızsız Hesablaşma,ödəniş metodu,Aylıq Ödənişlər,Ümumi ödənişlər,Churn,"TelefonXidməti,KağızsızHesablaşma"
3234-VKACU,Kişi,0,Yox,Yox,2,Hə,Yox,DSL,Yox,Yox,Yox,Hə,Hə,Hə,ayliq,Yox,elektronik cek,70.3,132.4,Yox,Hə Yox
8357-EQXFO,Qadın,0,Yox,Yox,7,Hə,Yox,Fiber optic,Yox,Yox,Hə,Yox,Hə,Hə,ayliq,Hə,elektronik cek,95.35,660.9,Hə,Hə Hə
1989-PRJHP,Kişi,1,Hə,Yox,27,Hə,Hə,Fiber optic,Yox,Yox,Yox,Yox,Yox,Yox,ayliq,Hə,elektronik cek,75.5,1893.95,Hə,Hə Hə
8120-JDCAM,Kişi,0,Hə,Hə,4,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Yox,Yox,ayliq,Hə,mail cek,69.55,284.9,Yox,Hə Hə
8917-FAEMR,Qadın,0,Yox,Yox,37,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Yox,mail cek,19.85,784.25,Yox,Hə Yox
7047-YXDMZ,Kişi,0,Yox,Yox,21,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ayliq,Yox,mail cek,20.0,417.7,Yox,Hə Yox
2858-EIMXH,Qadın,1,Hə,Yox,53,Hə,Hə,Fiber optic,Yox,Yox,Yox,Yox,Hə,Hə,illik,Hə,kredit karti,95.85,5016.25,Yox,Hə Hə
9524-EGPJC,Qadın,0,Yox,Yox,18,Hə,Hə,Fiber optic,Yox,Yox,Yox,Hə,Yox,Hə,ayliq,Hə,elektronik cek,90.1,1612.75,Hə,Hə Hə
6993-OHLXR,Qadın,0,Yox,Yox,2,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Yox,Yox,ayliq,Yox,elektronik cek,68.95,119.75,Hə,Hə Yox
8818-XYFCQ,Kişi,0,Hə,Hə,32,Hə,Hə,Fiber optic,Hə,Yox,Yox,Yox,Hə,Hə,ayliq,Hə,kredit karti,99.55,3204.65,Hə,Hə Hə
6419-ZTTLE,Kişi,1,Hə,Yox,23,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,illik,Hə,elektronik cek,20.75,485.2,Yox,Hə Hə
0929-HYQEW,Kişi,0,Yox,Yox,3,Hə,Yox,DSL,Hə,Yox,Yox,Yox,Yox,Yox,ayliq,Hə,mail cek,50.15,160.85,Yox,Hə Hə
6614-YOLAC,Qadın,0,Hə,Hə,71,Yox,Teleon xidmeti yoxdur,DSL,Hə,Hə,Yox,Hə,Hə,Hə,2illik,Yox,mail cek,58.65,4145.25,Yox,Yox Yox
7426-RHZGU,Kişi,0,Yox,Yox,9,Hə,Yox,Fiber optic,Yox,Yox,Yox,Hə,Hə,Hə,ayliq,Hə,bank transfer,95.9,827.45,Yox,Hə Hə
4065-JJAVA,Qadın,0,Yox,Yox,1,Hə,Yox,DSL,Yox,Hə,Yox,Yox,Yox,Yox,ayliq,Yox,elektronik cek,49.5,49.5,Yox,Hə Yox
4695-VADHF,Kişi,0,Hə,Hə,18,Hə,Yox,DSL,Yox,Yox,Hə,Yox,Yox,Hə,ayliq,Yox,elektronik cek,57.45,990.85,Hə,Hə Yox
3863-IUBJR,Kişi,0,Hə,Hə,12,Hə,Yox,DSL,Yox,Yox,Yox,Yox,Yox,Hə,illik,Yox,kredit karti,53.65,696.35,Hə,Hə Yox
7649-SIJJF,Kişi,0,Hə,Yox,71,Hə,Hə,DSL,Hə,Hə,Hə,Hə,Yox,Hə,2illik,Hə,mail cek,80.1,5585.4,Yox,Hə Hə
9361-YNQWJ,Qadın,0,Yox,Yox,64,Hə,Hə,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,illik,Hə,bank transfer,24.4,1601.2,Yox,Hə Hə
3748-FVMZZ,Kişi,0,Yox,Yox,4,Yox,Teleon xidmeti yoxdur,DSL,Yox,Yox,Yox,Hə,Yox,Hə,ayliq,Hə,elektronik cek,40.05,162.45,Yox,Yox Hə
9391-TTOYH,Qadın,0,Yox,Yox,23,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ayliq,Hə,mail cek,19.5,470.2,Yox,Hə Hə
1452-XRSJV,Qadın,0,Hə,Hə,39,Hə,Yox,DSL,Hə,Yox,Yox,Yox,Yox,Yox,ayliq,Yox,kredit karti,51.05,2066,Yox,Hə Yox
3422-WJOYD,Kişi,0,Hə,Yox,28,Hə,Yox,DSL,Hə,Yox,Yox,Hə,Yox,Yox,illik,Yox,mail cek,54.35,1426.45,Yox,Hə Yox
8242-SOQUO,Qadın,1,Yox,Yox,5,Hə,Yox,Fiber optic,Yox,Hə,Yox,Yox,Hə,Yox,ayliq,Hə,elektronik cek,84.7,392.5,Yox,Hə Hə
7460-ITWWP,Qadın,1,Hə,Yox,45,Hə,Yox,Fiber optic,Yox,Yox,Hə,Yox,Yox,Hə,ayliq,Hə,elektronik cek,86.1,3861.45,Yox,Hə Hə
7147-AYBAA,Kişi,0,Yox,Yox,37,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Yox,Yox,ayliq,Hə,mail cek,70.35,2552.9,Yox,Hə Hə
7868-TMWMZ,Qadın,1,Hə,Yox,60,Hə,Yox,Fiber optic,Hə,Hə,Hə,Hə,Hə,Hə,2illik,Hə,bank transfer,110.0,6668.35,Yox,Hə Hə
4822-RVYBB,Kişi,1,Yox,Yox,8,Hə,Hə,Fiber optic,Yox,Yox,Hə,Yox,Hə,Hə,ayliq,Hə,elektronik cek,100.6,819.4,Hə,Hə Hə
6732-FZUGP,Qadın,0,Yox,Yox,47,Hə,Hə,Fiber optic,Hə,Yox,Hə,Yox,Hə,Yox,illik,Yox,kredit karti,94.9,4615.25,Yox,Hə Yox
8436-BJUMM,Kişi,0,Hə,Hə,26,Hə,Hə,Fiber optic,Yox,Yox,Yox,Yox,Hə,Yox,ayliq,Hə,elektronik cek,83.75,2070.6,Hə,Hə Hə
4184-TJFAN,Qadın,1,Hə,Hə,3,Hə,Yox,Fiber optic,Hə,Yox,Yox,Hə,Hə,Yox,ayliq,Hə,mail cek,88.3,273.75,Hə,Hə Hə
8329-GWVPJ,Qadın,0,Hə,Hə,50,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Yox,Yox,ayliq,Hə,bank transfer,69.75,3557.7,Yox,Hə Hə
1352-VHKAJ,Kişi,0,Hə,Hə,27,Hə,Hə,DSL,Yox,Yox,Yox,Hə,Hə,Hə,ayliq,Yox,bank transfer,71.6,1957.1,Yox,Hə Yox
4145-UQXUQ,Qadın,1,Yox,Yox,8,Hə,Yox,Fiber optic,Yox,Yox,Hə,Yox,Hə,Hə,ayliq,Hə,elektronik cek,92.1,729.95,Hə,Hə Hə
2632-TACXW,Qadın,0,Hə,Yox,62,Hə,Hə,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Yox,bank transfer,23.65,1416.75,Yox,Hə Yox
8146-QQKZH,Qadın,0,Hə,Yox,71,Hə,Yox,DSL,Hə,Yox,Hə,Hə,Hə,Hə,2illik,Yox,bank transfer,81.85,5924.4,Yox,Hə Yox
1767-CJKBA,Kişi,0,Yox,Yox,66,Hə,Hə,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Yox,mail cek,25.1,1697.7,Yox,Hə Yox
6445-TNRXS,Kişi,0,Hə,Hə,68,Hə,Hə,Fiber optic,Hə,Hə,Hə,Hə,Hə,Hə,2illik,Hə,bank transfer,114.7,7849.85,Yox,Hə Hə
4581-LNWUM,Qadın,0,Yox,Yox,13,Yox,Teleon xidmeti yoxdur,DSL,Yox,Yox,Hə,Yox,Hə,Hə,ayliq,Yox,elektronik cek,49.15,649.4,Yox,Yox Yox
4869-EPIUS,Kişi,0,Hə,Yox,56,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Yox,Hə,illik,Hə,elektronik cek,80.9,4557.5,Yox,Hə Hə
9948-YPTDG,Kişi,0,Hə,Yox,38,Hə,Yox,Fiber optic,Hə,Hə,Yox,Yox,Yox,Yox,ayliq,Hə,elektronik cek,79.45,3013.05,Hə,Hə Hə
1236-WFCDV,Kişi,1,Yox,Yox,14,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Hə,Hə,ayliq,Yox,kredit karti,90.45,1266.1,Hə,Hə Yox
1915-OAKWD,Qadın,0,Yox,Hə,16,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,illik,Hə,bank transfer,19.3,360.35,Yox,Hə Hə
7296-PIXQY,Qadın,0,Hə,Hə,14,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Yox,Yox,ayliq,Yox,elektronik cek,70.2,1046.5,Yox,Hə Yox
4883-QICIH,Kişi,0,Hə,Hə,32,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Yox,Yox,ayliq,Hə,bank transfer,69.75,2347.9,Hə,Hə Hə
3354-OADJP,Qadın,0,Yox,Yox,8,Hə,Yox,DSL,Hə,Yox,Yox,Hə,Yox,Yox,illik,Yox,bank transfer,54.25,447.75,Yox,Hə Yox
3524-WQDSG,Qadın,0,Hə,Hə,43,Hə,Hə,Fiber optic,Yox,Yox,Hə,Yox,Hə,Hə,ayliq,Hə,bank transfer,99.3,4209.95,Yox,Hə Hə
0810-DHDBD,Qadın,0,Yox,Yox,52,Hə,Hə,DSL,Hə,Yox,Hə,Hə,Hə,Yox,illik,Yox,kredit karti,74.0,3877.65,Yox,Hə Yox
4026-SKKHW,Kişi,0,Yox,Yox,3,Hə,Yox,DSL,Yox,Yox,Yox,Hə,Yox,Yox,ayliq,Hə,mail cek,50.25,152.3,Yox,Hə Hə
2829-HYVZP,Kişi,0,Yox,Yox,29,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,illik,Hə,mail cek,19.8,572.2,Yox,Hə Hə
8329-IBCTI,Qadın,0,Yox,Yox,1,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ayliq,Yox,mail cek,19.65,19.65,Hə,Hə Yox
1271-SJBGZ,Kişi,1,Yox,Yox,12,Yox,Teleon xidmeti yoxdur,DSL,Yox,Yox,Hə,Hə,Yox,Hə,ayliq,Hə,elektronik cek,43.65,526.95,Hə,Yox Hə
3845-JHAMY,Qadın,0,Hə,Hə,16,Yox,Teleon xidmeti yoxdur,DSL,Yox,Yox,Yox,Yox,Yox,Hə,ayliq,Hə,kredit karti,35.5,552.7,Yox,Yox Hə
7013-PSXHK,Qadın,0,Yox,Yox,40,Hə,Hə,DSL,Yox,Yox,Hə,Hə,Hə,Hə,illik,Hə,mail cek,80.75,3208.65,Yox,Hə Hə
5669-SRAIP,Qadın,0,Yox,Yox,5,Yox,Teleon xidmeti yoxdur,DSL,Yox,Yox,Hə,Yox,Yox,Hə,ayliq,Yox,elektronik cek,39.5,210.75,Hə,Yox Yox
5981-ITEMU,Kişi,0,Hə,Yox,40,Hə,Hə,Fiber optic,Yox,Yox,Yox,Yox,Hə,Hə,ayliq,Hə,bank transfer,97.1,3706.95,Hə,Hə Hə
3486-NPGST,Qadın,0,Yox,Yox,36,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,illik,Yox,mail cek,19.55,620.75,Yox,Hə Yox
6941-PMGEP,Qadın,0,Yox,Yox,5,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Yox,Hə,ayliq,Hə,elektronik cek,80.0,412.5,Hə,Hə Hə
1624-WOIWJ,Qadın,0,Yox,Yox,10,Hə,Yox,Fiber optic,Hə,Yox,Yox,Yox,Hə,Yox,ayliq,Hə,mail cek,84.7,832.05,Hə,Hə Hə
2074-GKOWZ,Kişi,0,Hə,Hə,2,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Hə,Hə,ayliq,Hə,bank transfer,89.55,185.55,Hə,Hə Hə
0376-YMCJC,Kişi,0,Yox,Yox,23,Hə,Hə,Fiber optic,Yox,Yox,Yox,Hə,Hə,Yox,ayliq,Hə,elektronik cek,90.6,1943.2,Hə,Hə Hə
6100-FJZDG,Kişi,0,Hə,Hə,26,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,illik,Hə,bank transfer,20.05,505.9,Yox,Hə Hə
4829-ZLJTK,Qadın,1,Hə,Yox,72,Hə,Hə,Fiber optic,Hə,Hə,Hə,Yox,Hə,Hə,2illik,Hə,elektronik cek,112.4,8046.85,Yox,Hə Hə
1730-VFMWO,Qadın,0,Hə,Yox,34,Hə,Yox,DSL,Yox,Yox,Yox,Hə,Yox,Yox,ayliq,Yox,bank transfer,50.2,1815.3,Yox,Hə Yox
7143-BQIBA,Kişi,0,,Yox,10,Hə,Yox,DSL,Hə,Yox,Yox,Hə,Hə,Yox,ayliq,Yox,bank transfer,62.25,612.95,Yox,Hə Yox
3800-LYTRK,Qadın,0,Yox,Yox,14,Hə,Yox,DSL,Hə,Yox,Yox,Hə,Yox,Yox,illik,Yox,mail cek,55.7,795.15,Yox,Hə Yox
0634-SZPQA,Qadın,0,Yox,Yox,23,Hə,Hə,Fiber optic,Hə,Yox,Yox,Yox,Hə,Yox,ayliq,Hə,bank transfer,90.05,2169.8,Hə,Hə Hə
9646-NMHXE,Kişi,0,Hə,Yox,47,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Yox,mail cek,19.65,973.1,Yox,Hə Yox
7030-NJVDP,Kişi,0,Hə,Yox,24,Hə,Yox,Fiber optic,Hə,Yox,Yox,Hə,Yox,Hə,ayliq,Hə,elektronik cek,89.25,2210.2,Yox,Hə Hə
5536-RTPWK,Kişi,0,Hə,Yox,49,Hə,Hə,Fiber optic,Yox,Hə,Yox,Yox,Hə,Hə,ayliq,Hə,bank transfer,99.05,4853.75,Hə,Hə Hə
8883-GRDWQ,Kişi,1,,Yox,20,Hə,Yox,DSL,Hə,Yox,Yox,Hə,Yox,Yox,illik,Yox,mail cek,54.0,1055.9,Yox,Hə Yox
6166-ILMNY,Qadın,0,Yox,Yox,2,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Yox,Yox,ayliq,Yox,bank transfer,69.75,144.55,Hə,Hə Yox
3097-NNSPB,Qadın,0,Yox,Yox,2,Hə,Yox,DSL,Yox,Hə,Yox,Yox,Yox,Yox,ayliq,Hə,kredit karti,49.05,91.1,Hə,Hə Hə
7771-ZONAT,Kişi,0,Yox,Yox,22,Yox,Teleon xidmeti yoxdur,DSL,Yox,Yox,Hə,Hə,Hə,Hə,2illik,Yox,bank transfer,56.75,1304.85,Yox,Yox Yox
0655-RBDUG,Kişi,0,Yox,Yox,7,Hə,Hə,Fiber optic,Yox,Yox,Hə,Yox,Hə,Hə,ayliq,Hə,bank transfer,98.05,713,Hə,Hə Hə
2111-DWYHN,Kişi,0,Yox,Yox,1,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ayliq,Yox,mail cek,21.1,21.1,Yox,Hə Yox
4194-WHFCB,Qadın,0,Hə,Hə,59,Hə,Hə,Fiber optic,Yox,Hə,Yox,Hə,Yox,Hə,ayliq,Hə,bank transfer,96.65,5580.8,Yox,Hə Hə
4121-AGSIN,Qadın,0,Hə,Hə,58,Hə,Hə,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,illik,Hə,kredit karti,24.5,1497.9,Yox,Hə Hə
4361-BKAXE,Qadın,0,,Yox,41,Hə,Hə,Fiber optic,Hə,Hə,Hə,Hə,Hə,Hə,ayliq,Hə,bank transfer,114.5,4527.45,Hə,Hə Hə
9845-PEEKO,Qadın,1,Yox,Yox,59,Hə,Hə,Fiber optic,Yox,Hə,Yox,Yox,Yox,Yox,2illik,Hə,kredit karti,79.2,4590.35,Yox,Hə Hə
0455-XFASS,Qadın,0,Hə,Hə,3,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Yox,Yox,ayliq,Hə,elektronik cek,69.55,200.2,Yox,Hə Hə
0301-KOBTQ,Kişi,0,Yox,Yox,32,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Hə,bank transfer,20.05,614.45,Yox,Hə Hə
1751-NCDLI,Kişi,1,Hə,Yox,46,Hə,Hə,Fiber optic,Yox,Yox,Hə,Yox,Hə,Hə,ayliq,Hə,elektronik cek,98.85,4564.9,Yox,Hə Hə
4367-NUYAO,Kişi,0,Hə,Hə,0,Hə,Hə,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Yox,mail cek,25.75, ,Yox,Hə Yox
9878-TNQGW,Kişi,0,Yox,Yox,2,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Yox,Hə,ayliq,Hə,elektronik cek,80.95,171.15,Hə,Hə Hə
9170-ARBTB,Qadın,0,Hə,Hə,52,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,illik,Yox,kredit karti,19.6,1012.4,Yox,Hə Yox
4441-NIHPT,Qadın,1,Yox,Yox,13,Hə,Yox,Fiber optic,Yox,Yox,Hə,Yox,Yox,Yox,ayliq,Hə,elektronik cek,74.3,940.35,Hə,Hə Hə
8999-BOHSE,Qadın,1,Yox,Yox,11,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Hə,Hə,ayliq,Yox,bank transfer,89.7,1047.7,Hə,Hə Yox
7241-AJHFS,Kişi,0,Yox,Yox,32,Hə,Hə,Fiber optic,Hə,Yox,Yox,Hə,Yox,Yox,ayliq,Yox,bank transfer,87.65,2766.4,Yox,Hə Yox
7029-RPUAV,Kişi,1,Hə,Yox,17,Hə,Hə,Fiber optic,Yox,Yox,Hə,Yox,Hə,Hə,ayliq,Hə,kredit karti,100.45,1622.45,Hə,Hə Hə
4546-FOKWR,Qadın,0,Yox,Yox,16,Hə,Hə,Fiber optic,Yox,Yox,Yox,Yox,Yox,Yox,ayliq,Hə,kredit karti,74.75,1129.35,Yox,Hə Hə
9036-CSKBW,Qadın,0,Yox,Yox,51,Hə,Hə,Fiber optic,Hə,Hə,Hə,Yox,Hə,Hə,illik,Yox,bank transfer,107.45,5680.9,Yox,Hə Yox
5832-TRLPB,Kişi,0,Yox,Yox,29,Hə,Yox,DSL,Yox,Yox,Hə,Hə,Hə,Hə,illik,Hə,bank transfer,75.35,2243.9,Yox,Hə Hə
8590-YFFQO,Kişi,0,Hə,Yox,70,Hə,Yox,DSL,Hə,Hə,Hə,Hə,Yox,Yox,2illik,Yox,kredit karti,64.95,4523.25,Yox,Hə Yox
8659-IOOPU,Qadın,0,Hə,Hə,71,Hə,Hə,Fiber optic,Hə,Yox,Hə,Hə,Yox,Hə,2illik,Yox,elektronik cek,100.45,7159.7,Yox,Hə Yox
1338-CECEE,Kişi,0,Hə,Hə,41,Hə,Hə,DSL,Yox,Hə,Hə,Yox,Hə,Yox,illik,Yox,bank transfer,68.5,2839.95,Yox,Hə Yox
7439-DKZTW,Kişi,0,Yox,Yox,1,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Hə,Yox,ayliq,Hə,elektronik cek,80.55,80.55,Yox,Hə Hə
4646-QZXTF,Qadın,0,Hə,Yox,7,Hə,Yox,DSL,Hə,Yox,Hə,Hə,Hə,Hə,ayliq,Yox,bank transfer,81.25,580.1,Yox,Hə Yox
4607-CHPCA,Kişi,0,Hə,Hə,25,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Hə,Hə,illik,Hə,elektronik cek,90.4,2178.6,Hə,Hə Hə
9742-XOKTS,Kişi,0,Hə,Hə,67,Hə,Hə,Fiber optic,Hə,Hə,Yox,Hə,Yox,Yox,illik,Yox,elektronik cek,89.55,6038.55,Yox,Hə Yox
6921-OZMFH,Kişi,0,Hə,Hə,5,Hə,Hə,DSL,Yox,Yox,Yox,Hə,Yox,Yox,ayliq,Hə,mail cek,55.7,259.4,Yox,Hə Hə
9578-FOMUK,Kişi,0,Yox,Hə,15,Hə,Hə,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ayliq,Hə,elektronik cek,24.8,324.15,Yox,Hə Hə
4712-UYOOI,Qadın,0,Hə,Hə,20,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ayliq,Yox,elektronik cek,20.0,417.65,Yox,Hə Yox
8824-RWFXJ,Kişi,0,Hə,Hə,3,Hə,Yox,DSL,Yox,Hə,Hə,Yox,Yox,Yox,ayliq,Hə,mail cek,56.15,168.15,Hə,Hə Hə
7722-CVFXN,Kişi,0,Hə,Hə,54,Hə,Hə,Fiber optic,Yox,Hə,Yox,Hə,Hə,Hə,illik,Hə,elektronik cek,105.2,5637.85,Yox,Hə Hə
8717-VCTXJ,Kişi,0,Yox,Yox,42,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,illik,Hə,mail cek,19.55,839.4,Yox,Hə Hə
7363-QTBIW,Qadın,0,Hə,Yox,9,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Yox,Hə,ayliq,Hə,elektronik cek,79.75,769.1,Yox,Hə Hə
4159-NAAIX,Qadın,0,Yox,Yox,63,Hə,Hə,Fiber optic,Yox,Hə,Yox,Yox,Hə,Hə,2illik,Yox,bank transfer,97.45,6253,Yox,Hə Yox
0971-QIFJK,Qadın,0,Hə,Yox,69,Hə,Hə,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Yox,bank transfer,24.25,1641.8,Yox,Hə Yox
9397-TZSHA,Qadın,0,Yox,Yox,69,Hə,Hə,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Yox,kredit karti,24.6,1678.05,Yox,Hə Yox
3391-JSQEW,Kişi,0,Hə,Yox,40,Hə,Yox,DSL,Yox,Hə,Yox,Yox,Yox,Yox,ayliq,Hə,mail cek,50.15,2058.5,Yox,Hə Hə
0343-QLUZP,Kişi,0,Yox,Yox,60,Yox,Teleon xidmeti yoxdur,DSL,Hə,Hə,Hə,Yox,Yox,Yox,2illik,Yox,bank transfer,39.6,2424.5,Yox,Yox Yox
9763-PDTKK,Qadın,0,Yox,Yox,4,Hə,Yox,Fiber optic,Hə,Yox,Hə,Hə,Yox,Hə,ayliq,Hə,bank transfer,94.4,387.2,Hə,Hə Hə
2176-LVPNX,Qadın,1,Yox,Yox,71,Hə,Hə,DSL,Hə,Hə,Hə,Hə,Hə,Hə,2illik,Yox,mail cek,89.85,6293.45,Yox,Hə Yox
7627-JKIAZ,Qadın,0,Hə,Yox,37,Hə,Hə,Fiber optic,Yox,Yox,Hə,Yox,Yox,Yox,ayliq,Hə,kredit karti,78.95,2839.65,Hə,Hə Hə
3312-UUMZW,Kişi,0,Hə,Yox,32,Hə,Hə,Fiber optic,Yox,Hə,Yox,Yox,Hə,Hə,ayliq,Hə,kredit karti,98.85,3145.9,Yox,Hə Hə
1271-UODNO,,0,Yox,Yox,39,Hə,Hə,DSL,Yox,Yox,Yox,Hə,Yox,Yox,2illik,Hə,kredit karti,53.85,2200.7,Yox,Hə Hə
8461-EFQYM,Qadın,0,Yox,Yox,38,Hə,Hə,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,illik,Hə,elektronik cek,24.25,914.4,Yox,Hə Hə
6900-RBKER,Kişi,0,Yox,Yox,52,Hə,Hə,Fiber optic,Yox,Yox,Hə,Yox,Yox,Hə,2illik,Hə,kredit karti,89.45,4577.75,Yox,Hə Hə
6891-JPYFF,Qadın,0,Hə,Hə,48,Hə,Hə,Fiber optic,Hə,Hə,Yox,Yox,Hə,Hə,ayliq,Hə,kredit karti,105.25,4997.5,Yox,Hə Hə
1459-QNFQT,Kişi,0,Hə,Hə,70,Yox,Teleon xidmeti yoxdur,DSL,Hə,Yox,Hə,Hə,Hə,Hə,2illik,Yox,bank transfer,59.5,4144.8,Yox,Yox Yox
1047-NNCBF,Kişi,0,Yox,Yox,20,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Yox,Yox,ayliq,Yox,kredit karti,70.55,1493.55,Yox,Hə Yox
3696-XRIEN,Qadın,0,Yox,Yox,50,Hə,Hə,DSL,Hə,Yox,Hə,Hə,Hə,Hə,illik,Hə,kredit karti,82.5,4179.1,Yox,Hə Hə
4081-DYXAV,Qadın,0,Yox,Yox,19,Yox,Teleon xidmeti yoxdur,DSL,Yox,Yox,Yox,Yox,Hə,Hə,illik,Hə,kredit karti,44.85,893.55,Hə,Yox Hə
0074-HDKDG,Kişi,0,Hə,Hə,25,Hə,Yox,DSL,Hə,Hə,Hə,Yox,Yox,Yox,illik,Hə,bank transfer,61.6,1611,Yox,Hə Hə
8791-GFXLZ,Kişi,0,Yox,Yox,12,Hə,Yox,DSL,Yox,Hə,Yox,Yox,Yox,Yox,ayliq,Hə,bank transfer,49.05,593.05,Yox,Hə Hə
8111-SLLHI,Kişi,1,Hə,Yox,39,Hə,Hə,Fiber optic,Yox,Hə,Hə,Yox,Hə,Hə,ayliq,Hə,elektronik cek,105.65,4284.8,Hə,Hə Hə
0927-LCSMG,Kişi,0,Yox,Yox,7,Hə,Yox,Fiber optic,Yox,Yox,Hə,Yox,Yox,Yox,ayliq,Yox,mail cek,74.65,544.55,Hə,Hə Yox
9330-DHBFL,Qadın,0,Hə,Hə,23,Hə,Yox,DSL,Hə,Hə,Hə,Hə,Yox,Yox,illik,Hə,mail cek,66.25,1533.8,Yox,Hə Hə
0098-BOWSO,Kişi,0,Yox,Yox,27,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ayliq,Hə,elektronik cek,19.4,529.8,Yox,Hə Hə
3452-ABWRL,Kişi,1,Yox,Yox,47,Hə,Hə,Fiber optic,Yox,Yox,Yox,Yox,Hə,Yox,ayliq,Hə,kredit karti,86.05,3865.6,Yox,Hə Hə
5859-HZYLF,Kişi,0,Hə,Hə,26,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Hə,kredit karti,19.15,515.75,Yox,Hə Hə
8257-RZAHR,Qadın,0,Hə,Yox,14,Hə,Hə,DSL,Hə,Yox,Yox,Yox,Hə,Yox,ayliq,Hə,bank transfer,64.7,941,Hə,Hə Hə
5293-WXJAK,Qadın,1,Hə,Yox,11,Hə,Hə,Fiber optic,Yox,Yox,Hə,Hə,Hə,Hə,ayliq,Hə,bank transfer,104.05,1133.65,Hə,Hə Hə
3156-QLHBO,Kişi,0,Yox,Hə,2,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ayliq,Yox,mail cek,19.25,48.35,Yox,Hə Yox
2208-NQBCT,Qadın,0,Hə,Hə,26,Hə,Yox,Fiber optic,Hə,Hə,Yox,Yox,Yox,Yox,ayliq,Yox,elektronik cek,81.95,2070.05,Yox,Hə Yox
1779-PWPMG,,1,Hə,Yox,72,Hə,Hə,Fiber optic,Hə,Hə,Hə,Hə,Hə,Hə,2illik,Hə,bank transfer,114.65,8333.95,Yox,Hə Hə
6621-NRZAK,Qadın,0,Hə,Hə,63,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Yox,kredit karti,20.0,1209.25,Yox,Hə Yox
